date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:15	3683/3683	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f9-e63-561cfe9c9e300%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar8.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar8.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:15	4246/4246	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f8-1096-561cfea627980%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar7.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar7.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:15	6144/6144	---M-Z	200	added ('OK')	text/html	etag:%223fc2713-1800-571ae3dc32280-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/sign-in.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/sign-in.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:16	79093/79093	---M-Z	200	added ('OK')	text/html	etag:%223fc270f-134f5-571ae3de1a700-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/profile.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/profile.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:16	23598/23598	---M--	200	added ('OK')	image/jpeg	etag:%223fc25de-5c2e-563a498fc2100%22	https://thememakker.com/templates/oreo/hospital/html/images/profile_av.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/profile_av.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:16	60738/60738	---M-Z	200	added ('OK')	text/html	etag:%223fc26ea-ed42-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/book-appointment.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/book-appointment.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:17	76807/76807	---M-Z	200	added ('OK')	text/html	etag:%223fc26f2-12c07-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/doctors.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/doctors.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:17	65779/65779	---M-Z	200	added ('OK')	text/html	etag:%223fc2601-100f3-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/add-doctor.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/add-doctor.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:17	75365/75365	---M-Z	200	added ('OK')	text/html	etag:%223fc270d-12665-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/patients.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/patients.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:18	65115/65115	---M-Z	200	added ('OK')	text/html	etag:%223fc2602-fe5b-571ae40257c80-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/add-patient.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/add-patient.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:18	63936/63936	---M-Z	200	added ('OK')	text/html	etag:%223fc270c-f9c0-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/patient-profile.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/patient-profile.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:18	74034/74034	---M-Z	200	added ('OK')	text/html	etag:%223fc270b-12132-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/patient-invoice.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/patient-invoice.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:18	68940/68940	---M-Z	200	added ('OK')	text/html	etag:%223fc270e-10d4c-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/payments.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/payments.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:19	61884/61884	---M-Z	200	added ('OK')	text/html	etag:%223fc2603-f1bc-571ae40257c80-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/add-payments.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/add-payments.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:19	68942/68942	---M-Z	200	added ('OK')	text/html	etag:%223fc26ff-10d4e-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/invoice.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/invoice.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:19	58820/58820	---M-Z	200	added ('OK')	text/html	etag:%223fc2600-e5c4-571ae40257c80-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/add-departments.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/add-departments.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:20	68773/68773	---M-Z	200	added ('OK')	text/html	etag:%223fc2605-10ca5-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/all-Departments.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/all-Departments.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:20	6621/6621	---M-Z	200	added ('OK')	text/html	etag:%223fc2714-19dd-571ae3dc32280-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/sign-up.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/sign-up.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:20	5545/5545	---M-Z	200	added ('OK')	text/html	etag:%223fc26f9-15a9-571ae3dc32280-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/forgot-password.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/forgot-password.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:20	5512/5512	---M-Z	200	added ('OK')	text/html	etag:%223fc25fe-1588-571ae3dc32280-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/404.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/404.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:21	5515/5515	---M-Z	200	added ('OK')	text/html	etag:%223fc25ff-158b-571ae3dc32280-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/500.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/500.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:21	5532/5532	---M-Z	200	added ('OK')	text/html	etag:%223fc270a-159c-571ae3dc32280-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/page-offline.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/page-offline.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:22	5546/5546	---M-Z	200	added ('OK')	text/html	etag:%223fc2701-15aa-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/locked.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/locked.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:22	89602/89602	---M-Z	200	added ('OK')	text/html	etag:%223fc26e3-15e02-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/blog-dashboard.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/blog-dashboard.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
